City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
115,anloga,5.7947,0.8973,27.08,81,12,5.02,GH,1674456217
116,saldanha,-33.0117,17.9442,20.03,83,5,3.54,ZA,1674456218
117,bredasdorp,-34.5322,20.0403,23.92,64,6,1.22,ZA,1674456218
118,dunedin,-45.8742,170.5036,14.89,61,52,3.58,NZ,1674456218
119,ovsyanka,55.9575,92.5519,-13.46,93,100,3.76,RU,1674456219
120,barrow,71.2906,-156.7887,-20.99,84,100,6.17,US,1674456219
121,nioro,13.35,-15.75,17.48,56,0,2.37,GM,1674456220
122,valparaiso,-33.0393,-71.6273,17.49,100,75,2.06,CL,1674456220
123,hornostayivka,47.0078,33.729,-0.03,83,22,5.5,UA,1674456221
124,hobyo,5.3505,48.5268,26.68,65,8,10.28,SO,1674456221
125,itoman,26.1247,127.6694,22.21,68,75,3.6,JP,1674456221
126,panorama,40.5878,23.0315,12.45,74,40,7.2,GR,1674456222
127,gavle,60.6745,17.1417,-5.66,87,8,5.39,SE,1674456222
128,coshocton,40.272,-81.8596,1.19,94,100,2.62,US,1674456223
129,omsukchan,62.5333,155.8,-31.39,98,100,2.69,RU,1674456223
130,east london,-33.0153,27.9116,25.52,83,20,3.09,ZA,1674456125
131,aitape,-3.1374,142.3475,28.27,74,96,1.82,PG,1674456224
132,muzhi,65.3667,64.6667,-8.51,85,45,4.42,RU,1674456224
133,hasaki,35.7333,140.8333,6.27,74,100,3.14,JP,1674456225
134,filingue,14.3521,3.3168,21.81,19,0,3.87,NE,1674456225
135,hit,33.6416,42.8251,13.71,42,0,2.32,IQ,1674456226
136,hithadhoo,-0.6,73.0833,26.97,75,16,1.75,MV,1674456226
137,kondinskoye,59.6481,67.41,-11.04,92,13,4.18,RU,1674456227
138,abu dhabi,24.4667,54.3667,20.54,55,0,2.57,AE,1674456020
139,evensk,61.95,159.2333,-14.61,89,100,11.82,RU,1674456227
140,aklavik,68.2191,-135.0107,-22.73,92,100,5.48,CA,1674455674
141,souillac,-20.5167,57.5167,27.21,83,75,4.63,MU,1674456228
142,coihaique,-45.5752,-72.0662,9.97,71,0,1.03,CL,1674456229
143,kalemie,-5.9475,29.1947,22.49,78,77,1.9,CD,1674456229
144,algiers,36.7525,3.042,3.9,87,75,5.66,DZ,1674456229
145,los llanos de aridane,28.6585,-17.9182,15.07,75,100,6.17,ES,1674455652
146,mitu,1.1983,-70.1733,20.94,99,100,0.62,CO,1674456230
147,knysna,-34.0363,23.0471,26.62,58,0,1.02,ZA,1674456231
148,jacareacanga,-6.2222,-57.7528,21.94,100,100,1.33,BR,1674456231
149,nanakuli,21.3906,-158.1547,24.99,70,0,1.54,US,1674456232
150,flinders,-34.5833,150.8552,23.92,68,24,3.22,AU,1674456232
151,krabi,8.0726,98.9105,33.11,58,40,3.09,TH,1674456233
152,zabol,32.25,67.25,-2.3,59,6,3.75,AF,1674456233
153,reims,49.1667,4.0833,1.08,93,100,3.09,FR,1674456234
154,palauig,15.435,119.9045,28.34,65,28,3.41,PH,1674455675
155,opuwo,-18.0607,13.84,20.68,73,99,1.63,NA,1674456234
156,plettenberg bay,-34.0527,23.3716,24.42,65,0,1.81,ZA,1674455650
157,kruisfontein,-34.0033,24.7314,26.07,57,0,3.56,ZA,1674455663
158,dapaong,10.8639,0.205,23.91,21,10,2.41,TG,1674456235
159,cidreira,-30.1811,-50.2056,22.4,87,0,1.95,BR,1674456236
160,durusu,41.3053,28.6767,10.1,84,88,5.36,TR,1674456236
161,gidam,18.9833,81.4,31.88,19,63,0.92,IN,1674456237
162,wanaka,-44.7,169.15,21.17,41,62,4.92,NZ,1674456237
163,sault sainte marie,46.5168,-84.3333,-3.84,92,100,1.03,CA,1674456065
164,zhezkazgan,47.8043,67.7144,-13.01,85,20,2.0,KZ,1674456238
165,sitka,57.0531,-135.33,6.94,70,100,6.69,US,1674456239
166,lashio,22.9333,97.75,26.46,15,21,1.24,MM,1674456156
167,olavarria,-36.8927,-60.3225,16.35,67,35,1.78,AR,1674455971
168,mehamn,71.0357,27.8492,-0.03,69,0,10.8,NO,1674456240
169,victoria,22.2855,114.1577,24.97,78,7,4.02,HK,1674456130
170,nsanje,-16.92,35.262,29.5,60,100,3.08,MW,1674456240
